Joueur,Equipe_principale,Poste_simplifie,Score_Forme,Matchs,Minutes,Buts,Passes_decisives,Matchs_6_derniers
Borna Sosa,Crystal Palace,MID,4.0,5,47,0,0,5
Callum Marshall,West Ham,MID,1.59,2,44,0,0,2
Tom Watson,Brighton,MID,4.0,6,44,0,0,6
Ben Doak,Bournemouth,MID,1.72,4,40,0,1,4
Zach Abbott,Nottingham Forest,MID,2.4,1,40,0,0,1
Angus Gunn,Nottingham Forest,MID,2.4,1,38,0,0,1
Romain Esse,Crystal Palace,MID,0.73,4,29,0,0,4
Andrés García,Aston Villa,MID,0.92,2,27,0,0,2
Julio Soler,Bournemouth,MID,0.9,3,27,0,0,3
Christian Nørgaard,Arsenal,MID,1.35,3,26,0,0,3
Max Dowman,Arsenal,MID,1.03,2,24,0,0,2
Patrick Roberts,Sunderland,MID,1.54,1,23,0,0,1
Divine Mukasa,Manchester City,MID,1.16,2,21,0,0,2
Rayan,Bournemouth,MID,4.32,1,21,0,1,1
Tawanda Chirewa,Wolverhampton Wanderers,MID,0.92,2,20,0,0,2
Jonah Kusi-Asare,Fulham,MID,4.0,5,19,0,0,6
George Hemmings,Aston Villa,MID,1.01,2,19,0,0,2
Luke O&#039;Nien,Sunderland,MID,4.0,5,14,0,0,5
Bendito Mantato,Manchester United,MID,1.68,1,14,0,0,1
Mike Trésor,Burnley,MID,0.54,4,13,0,0,4
Dan Neil,Sunderland,MID,0.96,3,13,0,0,3
Bradley Burrowes,Aston Villa,MID,1.44,1,12,0,0,1
Seamus Coleman,Everton,DEF,0.54,3,11,0,0,3
Sasa Kalajdzic,Wolverhampton Wanderers,MID,1.44,1,11,0,0,1
Jamaal Lascelles,Newcastle United,MID,0.54,2,8,0,0,2
Mohamadou Kanté,West Ham,MID,0.68,3,8,0,0,3
Ashley Barnes,Burnley,MID,0.57,2,7,0,0,2
George Earthy,West Ham,MID,0.48,1,7,0,0,1
Jota Silva,Nottingham Forest,MID,0.48,1,7,0,0,1
Jaydon Banel,Burnley,MID,0.48,1,7,0,0,1
Shea Lacey,Manchester United,MID,0.52,2,6,0,0,2
Jamaldeen Jimoh,Aston Villa,MID,0.48,1,5,0,0,1
Alex Tóth,Bournemouth,MID,0.56,2,5,0,0,2
Harrison Reed,Fulham,MID,1.29,4,4,1,0,4
Sam Byram,Leeds,MID,0.48,1,4,0,0,1
Dane Scarlett,Tottenham,MID,0.48,2,4,0,0,2
Ben Winterburn,Bournemouth,MID,0.48,1,3,0,0,1
Mateo Kovacic,Manchester City,MID,0.48,1,2,0,0,1
Treymaurice Nyoni,Liverpool,MID,0.61,2,2,0,0,2
Pedro Lima,Wolverhampton Wanderers,MID,0.48,2,2,0,0,2
Joél Drakes-Thomas,Crystal Palace,MID,0.48,2,2,0,0,2
Odsonne Edouard,Crystal Palace,FWD,6.01,1,1,0,0,6
Myles Peart-Harris,Brentford,MID,0.48,1,1,0,0,1
Tyrell Malacia,Manchester United,MID,0.48,1,1,0,0,1
Kaden Rodney,Crystal Palace,MID,0.48,1,1,0,0,1
Alex Murphy,Newcastle United,MID,0.48,1,1,0,0,1
Joe Knight,Brighton,MID,0.48,1,1,0,0,1
Tyler Fredricson,Manchester United,MID,0.48,1,1,0,0,1
Nehemiah Oriola,Brighton,MID,0.48,1,1,0,0,1
Jun&#039;ai Byfield,Tottenham,MID,0.48,1,1,0,0,1
Romelle Donovan,Brentford,MID,0.77,1,1,0,0,1
